Account_Length_days,Voicemail_Messages,Call_mins_day,Call_mins_eve,Call_mins_night,CustomerService_Calls,International_Calls,Customer_Age,Customer_Gender,Churn
61,0,45,151.3,152.9,2,6,35,male  ,no 
27,0,177.6,296.8,192.9,0,3,30,male  ,no 
69,27,268.8,246.6,271.9,0,3,34,female,no 
85,0,116.2,229.7,204.2,3,0,47,male  ,no 
84,0,75.3,179.9,193.8,1,1,30,female,no 
77,0,67.7,195.7,236.5,1,2,30,male  ,no 
51,0,180.5,134.7,170.7,2,3,21,female,no 
18,0,197,203.7,202,0,0,42,male  ,no 
16,0,174.7,280.8,171.7,5,8,46,female,no 
225,0,182.7,246.5,218,0,2,42,male  ,no 
115,0,146.7,106.2,197.7,2,4,25,male  ,no 
58,30,178.1,236.7,264,0,2,22,male  ,no 
91,0,149,245.3,260,0,3,18,male  ,no 
87,0,205.2,99.5,189.5,1,3,43,male  ,no 
116,0,245.9,240.1,158.7,0,5,54,female,no 
115,0,245.2,159,229.9,0,8,44,male  ,no 
65,29,215.5,161.9,128.3,2,5,40,female,no 
80,0,239.9,142.3,364.3,1,5,51,female,no 
93,0,239.8,251.8,168.6,0,10,24,male  ,no 
92,0,208,198.9,76.4,0,6,26,male  ,no 
144,38,105,121.8,221.5,0,4,44,male  ,no 
116,0,129.4,157.3,215.5,0,3,23,male  ,no 
86,30,99.9,263.5,254.7,2,7,31,female,no 
74,0,225.2,215.1,241.8,0,2,24,male  ,no 
112,36,113.7,157.5,177.6,2,3,23,male  ,no 
120,0,131.7,163.1,201.1,1,3,50,male  ,no 
185,31,189.8,163.3,264.8,1,3,26,male  ,no 
182,0,69.1,230.3,256.7,0,0,60,male  ,no 
90,0,203.4,226.7,152.4,0,0,66,female,no 
56,24,121.7,184,266.6,1,0,40,male  ,no 
34,0,128.8,208.7,202.1,1,7,36,male  ,no 
95,0,174,281.1,197.2,0,2,44,male  ,no 
105,0,147.7,222.7,163.5,2,3,20,female,no 
130,0,155.9,256.1,262.9,0,3,58,female,no 
165,0,207.7,164.8,54.5,0,3,26,female,no 
3,0,139,250.7,286.2,0,3,22,male  ,no 
59,28,120.9,213,163.1,2,5,50,female,no 
52,0,191.9,269.8,236.8,3,0,26,female,no 
122,0,141.4,146.4,123,0,4,39,male  ,no 
193,31,71.2,124.7,155.5,0,3,28,female,no 
130,0,115.6,167.8,141.8,1,9,26,male  ,no 
68,0,237.1,223.5,97.4,1,0,32,male  ,no 
100,0,179.1,196.6,186.7,1,0,38,male  ,no 
173,0,109.4,101.3,167.3,1,7,33,male  ,no 
36,0,175.1,216.9,243.7,1,3,44,male  ,no 
162,33,184.5,183.2,127.4,0,6,24,female,no 
144,18,106.4,108.1,208.4,1,5,67,male  ,no 
107,0,212.1,150.1,219.8,3,0,62,male  ,no 
89,0,179.7,299.8,185.3,0,3,31,male  ,no 
54,33,161.8,273,153.9,0,0,22,male  ,no 
73,0,182.3,199.2,120.2,1,5,68,female,no 
148,0,185.2,170.4,165.1,1,13,46,male  ,no 
101,0,217.7,231.7,185.3,3,0,26,male  ,no 
86,28,221.6,288.4,240.3,1,2,44,male  ,no 
51,0,82,194.4,243.4,0,2,31,female,no 
145,31,216,225.1,234.7,0,1,23,male  ,no 
112,0,167.6,154.5,281.4,0,0,55,female,no 
142,25,191.1,149.6,227.8,0,0,42,male  ,no 
3,27,67.4,244,281.1,0,0,35,female,no 
66,0,87.6,262,184.6,1,5,37,male  ,no 
83,0,227.9,207.5,211.7,0,5,41,female,no 
125,0,137.1,209.8,238.4,0,0,67,female,no 
56,0,210.4,176.6,149.7,1,4,52,male  ,no 
60,0,98.2,180.5,223.6,2,2,20,female,no 
134,0,7.8,171.4,186.5,2,2,59,female,no 
82,0,125.7,207.6,183.1,1,2,52,male  ,no 
99,0,145.6,230.9,181.5,1,0,41,female,no 
67,0,210.7,219.2,179.7,0,6,49,female,no 
101,28,105.9,231.7,281.3,1,5,32,male  ,no 
90,0,140.2,213.9,120,1,2,30,male  ,no 
124,37,161.2,204.2,231.5,0,0,25,male  ,no 
130,0,183,72.9,181.8,0,19,52,female,no 
82,0,207,232.9,172.4,3,8,41,female,no 
86,29,225.4,187.1,281.1,0,0,31,female,no 
120,39,200.3,220.4,253.8,0,4,37,female,no 
57,0,158.1,115.2,182.4,0,7,18,male  ,no 
94,0,177.1,194,146.7,1,4,29,male  ,no 
121,26,170.4,254.5,219.6,0,5,23,male  ,no 
125,0,168.6,175.6,243.3,0,0,36,female,no 
65,0,211.3,162.6,134.7,3,5,38,male  ,no 
124,0,167.4,233.2,109.6,0,5,41,male  ,no 
1,0,144.8,112.5,218.7,1,3,18,male  ,no 
113,0,132.1,247.5,246.2,3,6,27,male  ,no 
89,0,137.9,192.6,255.7,0,0,19,male  ,no 
43,0,168.4,243.8,214.7,1,2,53,female,no 
158,0,155.9,224.2,221,0,0,64,male  ,no 
110,0,188,90.5,150.3,3,3,40,male  ,no 
63,0,58.9,169.6,211.4,1,3,35,male  ,no 
65,0,207.7,217.5,125.6,1,0,51,female,no 
30,0,54,179.3,247.2,1,8,31,male  ,no 
100,25,246.6,141.4,189.8,1,0,20,female,no 
135,0,151.7,119,180,0,6,73,male  ,no 
157,28,192.6,195.5,109.7,3,5,42,male  ,no 
75,24,225.5,182,270.9,0,2,27,male  ,no 
3,0,161,244.9,180.8,0,0,60,male  ,no 
151,0,170.2,187.5,119.5,0,3,63,male  ,no 
100,0,142.5,195.7,122.1,2,8,31,male  ,no 
143,0,202.8,165.8,143.9,1,4,31,male  ,no 
90,0,179.1,190.6,127.7,3,7,36,male  ,no 
89,12,188,151.3,201.9,2,3,57,female,no 
84,0,203.4,182.9,213.7,0,0,34,female,no 
147,0,209.4,132.5,149.4,2,3,68,male  ,no 
119,29,117.8,256.8,147.6,3,3,48,male  ,no 
138,0,133.9,166.4,193.5,1,3,46,female,no 
166,0,173.9,276.4,190.8,0,5,36,male  ,no 
74,0,230.9,223,157.8,3,2,54,female,no 
128,0,216,153.7,227,0,0,38,female,no 
84,0,138.6,199,204.1,0,0,22,male  ,no 
184,0,213.8,159.6,139.2,2,10,28,female,no 
112,30,60.6,165.9,132.8,0,7,30,female,no 
149,20,198.9,274,190.7,0,9,47,female,no 
126,23,114.3,190.3,240.4,3,0,18,male  ,no 
29,0,196.8,168,132.6,2,7,22,female,no 
87,0,237.2,222.6,173.3,1,3,46,male  ,no 
83,36,95.9,261.6,228.6,0,0,55,female,no 
124,0,63,241,227.5,0,5,26,male  ,no 
80,38,236.6,197.5,209.5,0,10,22,female,no 
70,0,170.2,155.2,228.6,1,0,18,male  ,no 
36,0,157.6,184.3,240.4,0,0,38,male  ,no 
106,0,114.4,78.3,232.7,2,0,19,male  ,no 
100,30,58.8,219.5,152.3,0,3,34,male  ,no 
124,0,178.4,233.6,179.4,0,0,18,male  ,no 
81,0,145.6,287.9,181.7,2,4,28,female,no 
174,0,124.3,277.1,250.7,0,5,48,male  ,no 
151,0,175.3,144.3,160.2,0,5,37,female,no 
43,0,251.5,212.8,157.8,0,4,64,male  ,no 
117,0,214.4,138,148.7,2,1,69,male  ,no 
72,37,220,217.3,152.8,0,0,40,male  ,no 
92,0,212.4,224.6,221.3,0,4,49,male  ,no 
52,32,33,247.2,289.4,0,5,52,male  ,no 
47,0,155.3,188.2,247,0,0,40,female,no 
177,0,175.7,168.6,198.9,1,0,28,male  ,no 
68,34,160,184.5,208.3,1,0,30,female,no 
96,0,173.9,287.4,204.8,0,7,25,male  ,no 
93,0,164.5,230.9,149.9,4,0,57,female,no 
107,0,86.8,108.1,204.3,1,3,41,female,no 
141,0,146.5,169.9,238.8,0,0,55,female,no 
163,0,202.9,178.6,203.8,0,0,40,female,no 
50,35,192.6,135.2,216.2,2,0,20,male  ,no 
124,0,254.3,78.9,153.2,2,2,34,male  ,no 
30,0,162.3,244,180.1,0,0,19,male  ,no 
101,28,220.3,285.8,203,4,0,26,female,no 
55,8,222.5,171.5,377.5,1,2,37,male  ,no 
129,36,192.8,177,216.5,0,0,36,male  ,no 
45,0,78.2,253.4,255,0,0,22,male  ,no 
98,0,126.3,166.8,187.8,3,2,31,male  ,no 
88,0,274.6,161.1,194.4,2,4,25,male  ,no 
103,0,246.5,195.5,200.5,1,4,62,female,no 
122,23,134.2,227.3,122.4,2,2,51,female,no 
88,0,152.9,171.2,257,2,0,20,female,no 
70,0,198.6,213.9,171.2,0,0,19,male  ,no 
105,20,186.9,256.3,334.7,1,2,44,female,no 
133,0,187,141.4,238.2,2,0,26,female,no 
130,0,203.9,191.8,132.5,3,4,33,female,no 
77,0,163,219.1,233.4,2,3,18,male  ,no 
90,0,214.9,117.8,133.7,2,2,41,male  ,no 
73,0,183.4,242,201.4,4,3,23,female,no 
54,24,92.3,193.1,99.3,2,3,54,female,no 
65,23,224.2,189.6,222.8,0,4,25,male  ,no 
155,0,181.4,167.7,168.5,3,3,63,male  ,no 
52,38,169.3,225.9,172,0,0,53,male  ,no 
90,0,157.9,234,210,0,0,31,female,no 
109,26,217.2,145.5,280.7,0,3,54,female,no 
109,0,137,217,182.1,2,5,34,male  ,no 
146,11,180.7,173.7,231.5,0,0,41,male  ,no 
100,0,235.8,176,63.6,2,1,23,male  ,no 
27,0,72.7,208.6,65.8,1,3,20,female,no 
110,0,178.5,146.9,217.1,1,0,58,male  ,no 
108,0,201.1,170.7,237.4,0,3,26,male  ,no 
63,21,151.5,147.8,210.4,1,4,41,male  ,no 
65,0,105.7,141.8,180.5,2,12,34,male  ,no 
125,0,212.3,215.4,186.8,2,2,45,female,no 
91,0,147.2,175.2,136.3,2,3,27,male  ,no 
50,0,183.6,58.6,202.6,1,3,32,male  ,no 
84,38,193,153.6,260.4,0,0,32,female,no 
119,35,217.1,220.8,249.5,0,5,34,female,no 
42,0,241.2,116.5,152.2,0,4,34,female,no 
142,30,154,165.8,270,0,0,21,female,no 
77,0,185.9,212,282.3,0,4,30,male  ,no 
71,0,104,197,110.1,0,8,30,male  ,no 
113,0,215.6,193.4,105.4,1,3,61,female,no 
157,0,168.6,205.1,175.8,3,0,27,female,no 
182,0,176.1,174.9,234.7,0,0,63,female,no 
151,0,118.9,278.3,194.8,0,0,28,male  ,no 
96,0,98.2,307.2,182.5,0,0,40,female,no 
141,0,215.6,200.6,153.8,1,0,53,female,no 
126,34,244.9,219.6,210.8,0,6,42,male  ,no 
115,0,210.6,153.1,262.2,0,5,49,male  ,no 
31,0,97.5,260.4,88.7,1,5,50,female,no 
118,0,189.3,233.5,270.9,0,0,26,female,no 
55,0,119.7,231.8,222.3,2,0,28,male  ,no 
87,0,185.8,192.3,200,1,0,25,female,no 
72,0,139.9,223.6,240.8,0,0,37,male  ,no 
60,0,125.1,248.8,211.3,0,0,20,male  ,no 
97,32,168.4,225.9,191.8,0,0,39,female,no 
86,16,145.7,191,215.5,0,0,57,male  ,no 
130,0,154.2,110.2,227.4,2,5,43,male  ,no 
158,0,158,292.5,241.1,0,4,23,male  ,no 
63,34,152.2,227.1,195.7,1,0,41,female,no 
57,0,221.1,236.7,252.3,0,0,41,male  ,no 
90,27,156.7,236.5,123.2,2,6,24,female,no 
47,28,172.9,137.6,203.8,1,6,35,male  ,no 
89,24,97.8,207.2,214.5,0,2,28,male  ,no 
33,35,186.8,261,317.8,0,5,37,female,no 
85,0,84,242.3,168.8,0,1,28,female,no 
60,0,145,209.1,328.5,0,2,20,male  ,no 
89,0,115.4,209.9,280.9,0,0,41,female,no 
28,0,180.8,288.8,191.9,0,6,20,male  ,no 
36,0,202.4,230.7,202,3,2,20,male  ,no 
105,0,101.4,159.1,259.2,1,2,46,male  ,no 
102,0,114.8,81.9,304.3,0,4,29,female,no 
133,0,221.1,160.2,161.8,4,0,40,female,no 
111,0,224.9,191.9,229.9,0,3,21,male  ,no 
55,25,165.6,136.1,175.7,3,2,35,male  ,no 
130,0,139.1,246,207.2,0,0,36,male  ,no 
174,0,192.1,169.9,166.6,1,4,22,female,no 
70,0,177.4,226.2,254.1,0,4,25,female,no 
99,0,191.2,163.9,243.6,0,0,23,male  ,no 
140,0,149.8,164.4,294.7,0,2,24,female,no 
67,30,129.6,233,297,0,5,69,male  ,no 
217,0,176.4,158.8,306.6,4,3,56,male  ,no 
109,0,217,207,268,0,4,40,female,no 
71,22,141.4,163,220,2,3,49,female,no 
52,0,214.7,158.6,123.4,2,4,30,male  ,no 
58,0,174.4,265.8,182.4,4,0,18,female,no 
88,0,144.3,156.4,214.7,3,10,28,female,no 
86,39,261.2,214.2,154.9,2,5,36,female,no 
149,0,156,56,163.3,0,8,42,male  ,no 
87,0,134.2,165,173.1,0,5,54,male  ,no 
123,0,172.2,162.6,250.3,0,0,20,male  ,no 
133,0,201.7,169.4,286.3,0,4,36,male  ,no 
67,0,310.4,66.5,246.5,4,10,27,female,no 
86,0,70.7,211,174.6,2,0,18,male  ,no 
133,0,216.2,222.2,192,2,1,32,male  ,no 
67,0,120.9,235,95.1,2,11,32,female,no 
108,0,239.3,223.4,251.4,0,0,25,female,no 
88,0,61.9,262.6,212.5,3,2,32,male  ,no 
31,0,177.3,152.8,162.9,0,2,36,female,no 
90,0,200.9,164.3,249,1,7,20,male  ,no 
154,32,192.3,165.3,205,2,0,64,male  ,no 
62,0,189.5,103.8,180.6,2,5,36,female,no 
157,29,219.2,206,192.4,1,5,38,female,no 
74,32,174.6,310.6,234.7,1,0,45,female,no 
157,0,152.7,257.5,198.1,0,0,35,male  ,no 
88,0,202.2,216.8,239.4,0,2,37,female,no 
25,0,242.6,209,219.7,0,6,57,male  ,no 
113,0,215.5,218.7,207.1,4,9,18,female,no 
41,0,159.3,125.9,261.9,1,0,65,male  ,no 
71,0,197.9,181.5,281.4,0,5,38,male  ,no 
93,0,152.4,274.6,252.2,0,5,70,male  ,no 
130,0,68.4,193.3,171.5,0,4,34,male  ,no 
101,0,156.4,130.4,207.3,1,5,19,female,no 
201,0,212.7,225.2,195.1,1,6,43,female,no 
80,0,161.1,198.8,228.4,0,0,41,female,no 
90,0,113.2,189.3,271.8,3,0,26,female,no 
127,0,247.5,108.5,232,0,0,42,male  ,no 
124,0,251.5,214.2,186.1,0,6,48,female,no 
162,0,49.2,143.9,203,1,13,42,female,no 
25,0,119.3,211.5,268.9,0,0,50,male  ,no 
106,0,274.4,198.6,160.8,1,3,37,male  ,no 
55,0,221,165.4,235.4,1,4,51,male  ,no 
104,0,156.2,193,222.7,1,0,25,male  ,no 
122,0,232.5,205.5,213.7,0,2,27,male  ,no 
55,0,175.6,161.8,289.5,0,4,61,male  ,no 
164,0,160.6,163.2,187.1,1,3,72,male  ,no 
56,0,91.1,179.3,300.7,2,0,40,male  ,no 
123,23,245,265,239.7,2,3,30,female,no 
19,0,186.1,254.3,214,0,7,22,female,no 
11,28,190.6,220.1,180.3,0,0,38,female,no 
88,0,181.9,151.5,143,1,3,20,female,no 
59,27,127.4,103.3,164.2,0,3,35,female,no 
120,0,252,150.2,151.8,2,0,25,male  ,no 
87,0,115.4,262.6,245.7,2,5,42,female,no 
41,30,191.7,193,149.4,1,4,69,male  ,no 
130,30,185,249.5,157.8,0,0,34,female,no 
64,0,213.5,166.6,122,3,3,30,male  ,no 
117,0,191.1,282.8,84.8,2,0,23,male  ,no 
77,29,211.1,223.5,148.4,0,0,18,male  ,no 
106,0,147.9,209.3,162.1,2,5,36,male  ,no 
47,28,112.2,154.8,166.7,0,2,42,male  ,no 
123,0,154.3,183,54,0,8,35,male  ,no 
122,0,180,145,233.7,2,0,37,female,no 
41,0,207.2,214.1,193,1,4,35,female,no 
97,0,211,189,123,3,4,34,male  ,no 
83,0,202.3,201.5,101.7,0,4,40,male  ,no 
143,0,110.1,169,166.7,1,2,47,male  ,no 
113,30,183.8,183.4,235,0,0,29,male  ,no 
116,44,230.6,224.1,244,0,0,43,female,no 
64,37,154.6,83.4,165.9,1,3,28,male  ,no 
131,0,112.8,199.4,142.7,0,5,63,female,no 
110,34,192.3,129.3,136.3,1,12,31,female,no 
116,0,217.3,216.1,148.1,2,0,51,female,no 
137,19,175.3,241.3,211.4,0,2,30,male  ,no 
120,0,165,317.2,119.2,0,0,27,female,no 
93,31,237.2,213.1,192.7,0,4,28,female,no 
205,0,49.9,150.7,188.2,2,4,68,female,no 
115,0,184.1,327,212.5,2,0,21,female,no 
91,0,159,255.1,82.4,0,4,57,female,no 
146,0,204.4,219.1,222.7,0,6,40,female,no 
205,24,175.8,155,180.7,2,5,29,male  ,no 
97,43,121.1,260.2,222.4,0,0,25,male  ,no 
134,40,142.9,88.6,290,1,6,29,male  ,no 
151,26,196.5,175.8,221.8,0,0,35,male  ,no 
90,0,114.4,127.7,253.1,2,5,58,female,no 
68,24,176,277.9,174.7,1,7,35,female,no 
56,0,177.7,215.6,236.7,1,5,44,female,no 
148,33,241.7,165.8,160.6,1,0,54,male  ,no 
106,0,193.6,238.2,176.4,0,0,38,female,no 
104,0,225.9,162.8,272.1,0,4,30,female,no 
112,0,170.4,200.2,258.3,1,4,21,male  ,no 
95,0,203.4,168.6,173,2,0,24,male  ,no 
72,39,92.8,271.2,167.1,1,7,66,female,no 
107,0,206.9,262.4,149.3,0,3,33,female,no 
100,0,160.3,221.3,150.4,0,2,33,female,no 
65,0,116.8,178.9,182.4,1,2,31,male  ,no 
104,0,280.4,179.4,150.6,0,6,29,female,no 
78,25,197.4,295.7,211.7,0,0,19,male  ,no 
73,26,131.2,106.5,221.7,2,6,34,male  ,no 
97,0,218,184,240.5,3,8,39,male  ,no 
104,0,113.6,158.6,187.7,2,6,72,female,no 
132,33,200.3,226.6,198.8,2,3,36,female,no 
106,0,235.2,220.6,236.3,0,4,32,male  ,no 
177,0,227.8,161.8,217,0,0,42,female,no 
103,0,62.8,170.4,280.2,3,4,28,male  ,no 
89,0,134.9,156,197.5,1,5,30,male  ,no 
93,0,176.1,199.7,263.9,2,6,31,male  ,no 
172,0,203.9,234,160.7,0,0,21,female,no 
115,0,180,198.8,217.1,0,0,48,male  ,no 
79,0,236.8,186.4,126.9,2,0,24,female,no 
70,0,156.4,171,196.1,2,4,72,female,no 
138,21,19.5,140.9,179.7,0,1,27,male  ,no 
131,0,166.5,210.2,257.2,1,5,45,male  ,no 
55,39,139.3,178.3,246.5,3,0,30,male  ,no 
60,0,183,206.7,203.8,0,0,55,female,no 
99,0,182.6,154.5,196,0,5,30,male  ,no 
111,0,146.2,261.5,163.2,3,0,22,male  ,no 
106,0,223,110.1,188.7,0,12,26,male  ,no 
80,0,209.9,195.1,208.2,2,4,21,male  ,no 
57,0,192.8,158,235.5,0,0,39,female,no 
132,0,83.4,232.2,146.7,1,5,50,male  ,no 
95,0,175.2,244.4,75.8,1,2,18,female,no 
123,0,44,210.7,231.9,0,5,23,female,no 
165,0,156,276.1,175.9,0,0,65,male  ,no 
159,15,113.9,145.3,195.2,1,9,19,female,no 
86,0,136.4,202.5,230.7,3,0,35,female,no 
88,25,288.5,203.4,228.4,1,0,62,female,no 
64,0,97.2,186.2,189,2,6,32,female,no 
127,23,182,216.1,156.9,1,0,19,female,no 
103,0,160.2,138.9,312.5,0,2,55,male  ,no 
16,0,205.6,169.5,220.1,0,0,33,male  ,no 
100,0,131.1,176.2,89.7,1,4,18,male  ,no 
114,0,189.8,147.7,172.7,1,5,33,male  ,no 
132,0,99.5,129.1,125.1,0,3,33,female,no 
160,0,174.3,171.3,220.8,0,0,31,female,no 
45,0,112.8,218.8,240.2,2,0,62,male  ,no 
56,0,164.3,233.7,187.3,0,0,21,male  ,no 
101,0,253.2,237.9,154.3,0,7,47,male  ,no 
86,0,266.1,182,206.5,0,4,42,male  ,no 
99,0,238.4,246.5,198.4,0,4,35,male  ,no 
145,0,187.9,197,167,2,0,39,female,no 
53,0,184.8,216.4,141.1,2,0,71,female,no 
31,31,100.1,246.3,255,0,0,24,male  ,no 
102,0,224.2,243.3,147.8,3,8,65,male  ,no 
132,0,240.1,180.4,133.4,3,0,50,female,no 
77,0,230,103.2,309.6,2,3,35,male  ,no 
148,26,158.7,160.5,218.3,1,3,60,male  ,no 
98,19,110.5,227.8,243.6,1,0,22,female,no 
46,0,199.2,175.1,210.6,0,0,31,male  ,no 
159,23,153.6,216.9,161.3,2,3,22,male  ,no 
91,0,123.8,319,237.6,0,4,62,male  ,no 
95,0,184.2,181.6,143.4,2,4,25,male  ,no 
145,43,257.7,162.1,286.9,2,0,42,female,no 
124,0,158.6,211.2,179.3,3,0,20,male  ,no 
127,0,182.3,169.9,184,1,3,18,male  ,no 
103,31,185.4,197.6,147.1,2,4,73,male  ,no 
126,24,58.9,305.5,158.9,0,6,36,male  ,no 
119,24,217.2,138.7,139.3,0,4,66,male  ,no 
121,0,103.3,129.1,167.1,0,3,58,male  ,no 
159,0,169.8,197.7,193.7,1,0,38,female,no 
94,0,245,180.4,262.9,0,6,39,female,no 
77,0,233.8,266.5,212.7,2,0,25,female,no 
128,0,245.2,101.5,152.3,0,5,48,male  ,no 
111,0,222.2,162.5,184.9,4,0,42,male  ,no 
49,0,236.6,220.9,146.8,0,0,23,male  ,no 
79,0,205.7,214.5,226.1,0,18,40,female,no 
115,0,147.9,228.4,299.7,0,9,25,male  ,no 
68,0,94.1,147.6,213.5,0,2,62,male  ,no 
91,0,133.8,158.8,189.6,1,2,70,female,no 
114,30,206.2,260,291.6,1,6,18,male  ,no 
13,21,315.6,208.9,260.1,3,3,34,female,no 
127,0,134.9,221.5,113.8,1,2,20,male  ,no 
1,0,175.2,151.7,230.5,1,0,22,male  ,no 
28,0,187.8,248.6,208.8,0,5,32,male  ,no 
84,0,159.5,247.1,187.9,0,0,50,male  ,no 
197,0,154.8,171.5,227.3,3,0,27,male  ,no 
93,0,168.4,276,196.2,1,3,25,male  ,no 
134,0,205.3,240.5,179.1,1,9,25,female,no 
78,21,160.6,223.1,124,2,1,47,female,no 
135,0,144.1,249.8,211.4,0,0,69,male  ,no 
97,24,176.1,159.4,269.1,0,0,19,male  ,no 
159,19,184.1,194.5,225.6,0,0,48,male  ,no 
11,24,131.5,230.2,283.7,0,3,32,male  ,no 
38,36,115.4,166.2,184.7,2,6,35,male  ,no 
84,0,146.8,171.7,234.5,1,0,54,female,no 
94,0,163.5,143.7,253.4,1,0,69,male  ,no 
120,0,203.3,259.9,115.9,3,0,42,female,no 
78,0,87.7,214.8,201.3,1,6,31,male  ,no 
80,0,101.1,263.2,137.7,0,5,73,female,no 
130,19,152.9,213.2,205.3,2,0,23,female,no 
96,26,145.8,192.2,165.1,1,2,67,male  ,no 
